Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","7933","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","530","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","2980","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","380","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","30","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","1796","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","36","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","662","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","178","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","1598","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","58","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","905","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","2225","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","146","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","82","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","21","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","350","S","Données standardisées"
